WELL_ID,DEPTH,GR,SP,RT,AC,POR,PERM,SW,SSB,CJWX,CJWX1,CJWX2,CJWX3,CJWX4,std_GR,std_SP,std_RT,std_AC,std_POR,std_PERM,std_SW,std_DEPTH,mm_GR,mm_SP,mm_RT,mm_AC,mm_POR,mm_PERM,mm_SW,mm_DEPTH,GR_rate,SP_rate,RT_rate,AC_rate,POR_rate,PERM_rate,SW_rate,DEPTH_rate,GR_sign,SP_sign,RT_sign,AC_sign,POR_sign,PERM_sign,SW_sign,DEPTH_sign,ACTUAL,CNN_1D,LSTM,Bi-GRU,ABi-GRU,MC-ABiLSTM
罗检38-365,1684.375,112.301,91.749,9.391,261.168,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,0.7138392146550332,-0.5635658861010663,-1.815321077346384,1.3360221618216264,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-1.7251364054850504,0.4396746659516467,0.353237231266311,0.12516934676326796,0.8206138890738397,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7,7,7,7,7
罗检38-365,1684.5,151.915,92.388,11.755999999999998,270.068,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,2.6911875320396605,-0.4361095852437878,-1.191357784103976,2.082209532937408,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-1.7112798881719176,0.7937346382446261,0.3929414688703865,0.26447546680803424,0.9391304347826082,0.0,0.0,1.0,0.004016064257029939,0.3527484172002029,0.006964653565706393,0.2518368650835905,0.034077681798688884,0.0,0.0,0.0,7.421150278293135e-05,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,7,7,7,7,7
罗检38-365,1684.625,174.993,93.199,13.725,274.639,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,3.8431349362049168,-0.2743457980837652,-0.6718720655440169,2.46544801309137,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-1.6974233708587847,1.0,0.4433329191002864,0.3804559109383282,1.0,0.0,0.0,1.0,0.008032128514052772,0.15191389921995854,0.008778196302550192,0.16748894181694465,0.016925366944621455,0.0,0.0,0.0,7.420599584446425e-05,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,7,7,7,7,7
罗检38-365,1684.75,171.593,94.088,14.376,272.365,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,3.6734226052333474,-0.0970239648097107,-0.5001172647402926,2.2747929477074047,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-1.6835668535456518,0.9696116548241496,0.4985708959860826,0.4188019084643928,0.9697183567481188,0.0,0.0,1.0,0.012048192771082709,-0.01942934860251556,0.009538728956319228,0.047431693989071017,-0.008279960238713368,0.0,0.0,0.0,7.420048972323217e-05,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,7.0,7,7,7,7,7
罗检38-365,1684.875,159.425,94.98,16.338,264.125,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,3.0660521219209804,0.08089625485334792,0.01752162800457279,1.5839408198429037,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-1.6697103362325187,0.8608571300889308,0.5539952777432601,0.5343700300406431,0.8599906784739328,0.0,0.0,1.0,0.01606425702811265,-0.07091198358907402,0.009480486353201369,0.13647746243739578,-0.030253520092522933,0.0,0.0,0.0,7.419498441905327e-05,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,7.0,7,7,7,7,7
罗检38-365,1685.0,154.769,95.824,19.535,256.801,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,2.833646059272855,0.2492422922923824,0.8609933609838455,0.9698873023089704,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-1.655853818919386,0.8192429726951781,0.6064371815583458,0.7226836307946043,0.7624608828816828,0.0,0.0,1.0,0.020080321285142592,-0.029204955308138655,0.008886081280269468,0.19567878565307864,-0.02772929484145769,0.0,0.0,0.0,7.418947993174568e-05,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,7.0,7,7,7,7,7
罗检38-365,1685.125,149.57299999999995,96.604,22.175,251.629,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,2.5742856852351266,0.4048227534327236,1.557510525533511,0.5362602142852843,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-1.641997301606253,0.7728024310676139,0.654902448117312,0.8781881368910878,0.6935881217124975,0.0,0.0,1.0,0.024096385542165418,-0.0335726146708968,0.008139923192519629,0.13514205272587665,-0.020140108488673987,0.0,0.0,0.0,7.41839762611276e-05,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,7.0,7,7,7,7,7
罗检38-365,1685.25,134.007,97.305,23.388,248.006,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,1.797302701734115,0.5446457063293649,1.8775390560633387,0.2325032653467992,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-1.6281407842931201,0.6336774366537071,0.6984590530632548,0.9496377451846614,0.6453425660829608,0.0,0.0,1.0,0.02811244979919536,-0.10406958475125842,0.007256428305246238,0.05470124013528753,-0.014398181449674112,0.0,0.0,0.0,7.417847340701729e-05,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,7.0,7,7,7,7,7
罗检38-365,1685.375,118.923,97.94,23.608,245.22,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,1.0443789369178942,0.671304158667974,1.935582153109144,-0.0010785341957347254,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-1.6142842669799868,0.4988604370559054,0.7379147508388231,0.9625964540260351,0.6082428923363734,0.0,0.0,1.0,0.0321285140562253,-0.11256128411202412,0.006525872257335089,0.009406533264922131,-0.011233599187116331,0.0,0.0,0.0,7.417297136923305e-05,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,7.0,7,7,7,7,7
罗检38-365,1685.5,107.189,98.518,23.461,244.452,0.1,0.01,99.9,7.0,1.0,1.0,0.0,0.0,0.0,0.4586717335001325,0.7865932696155578,1.8967988109921727,-0.06546863543359112,-1.5428680991647727,-1.0879839033660612,1.3230156400276578,-1.6004277496668542,0.3939848952048979,0.7738287560581583,0.953937680391117,0.5980158465943135,0.0,0.0,1.0,0.03614457831325524,-0.09866888659048287,0.0059015723912598395,-0.006226702812605981,-0.003131881575727921,0.0,0.0,0.0,7.416747014759327e-05,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,7.0,7,7,7,7,7
