LSTM_R,GAN_R,GAIN_R,GAN-LSTM_R,LSTM_C,GAN_C,GAIN_C,GAN-LSTM_C
0.872,0.936,0.94,0.962,0.864,0.879,0.881,0.916
0.837,0.873,0.919,0.946,0.819,0.827,0.862,0.884
0.809,0.853,0.881,0.924,0.796,0.772,0.819,0.853
0.779,0.834,0.834,0.872,0.755,0.746,0.765,0.802
0.768,0.815,0.803,0.848,0.735,0.722,0.695,0.762
