LSTM_R,GAN_R,GAIN_R,GAN-LSTM_R,LSTM_C,GAN_C,GAIN_C,GAN-LSTM_C
0.34,0.258,0.242,0.204,0.376,0.356,0.354,0.299
0.366,0.308,0.261,0.254,0.416,0.441,0.372,0.323
0.392,0.328,0.328,0.275,0.513,0.494,0.424,0.396
0.456,0.4,0.354,0.346,0.562,0.583,0.605,0.472
0.528,0.457,0.47,0.398,0.617,0.639,0.689,0.631
