GR,SP,RT,AC,SH,POR,PERM,SW,DEPTH,AC_line_3,AC_line_4,AC_line_5,AC_point_3,AC_point_4,AC_point_5,C_3_MASK,C_4_MASK,C_5_MASK,R_3_MASK,R_4_MASK,R_5_MASK
0.36642811,0.179672205,0.186952239,0.338417107,0.18329429,0.423570052,0,1,0.046744574,0.338417107,0.338417107,0.338417107,0.338417107,0.338417107,0.338417107,0,0,0,0,0,0
0.303309175,0.181769872,0.186977496,0.325328745,0.140310344,0.449877101,0,0.926309951,0.048414023,0.325328745,0.325328745,0.325328745,0.325328745,0.325328745,0.325328745,0,0,0,0,0,0
0.240626733,0.183867539,0.185537848,0.317844414,0.110877087,0.491131336,0,0.81679183,0.050083472,0.317844414,0.317844414,0.317844414,0.317844414,0.317844414,0.317844414,0,0,0,0,0,0
0.194958488,0.186664429,0.183391003,0.311097456,0.08698876,0.548594964,0,0.69165671,0.051752922,0.311097456,0.311097456,0.311097456,0.311097456,0.311097456,0.311097456,0,0,0,0,0,0
0.15573763,0.190020697,0.180410679,0.307914465,0.079165682,0.58951704,0,0.619019173,0.053422371,0.307914465,0.307914465,0.307914465,0.307914465,0.307914465,0.307914465,0,0,0,0,0,0
0.143852247,0.195642446,0.178895259,0.303994101,0.079326871,0.582608118,0,0.633100074,0.05509182,0.303994101,0.303994101,0.303994101,0.303994101,0.303994101,0.303994101,0,0,0,0,0,0
0.144188711,0.205599373,0.179400399,0.301818852,0.084420469,0.556433933,0,0.681430278,0.056761269,0.301818852,0.301818852,0.301818852,0.301818852,0.301818852,0.301818852,0,0,0,0,0,0
0.150399665,0.233708117,0.18106736,0.313493917,0.122085151,0.502956221,0,0.794731752,0.058430718,0.313493917,0.313493917,0.313493917,0.313493917,0.313493917,0.313493917,0,0,0,0,0,0
0.21149072,0.264222185,0.185765161,0.329101635,0.335500441,0,0,1,0.060100167,0.329101635,0.329101635,0.329101635,0.329101635,0.329101635,,0,0,0,0,0,1
0.259532405,0.291855457,0.191043871,0.34905985,0.407928389,0,0,1,0.061769616,0.34905985,0.34905985,0.34905985,0.34905985,0.34905985,,0,0,0,0,0,1
0.309829312,0.322033898,0.19617104,0.369460489,0.48082916,0,0,1,0.063439065,0.369460489,0.369460489,0.369460489,0.369460489,0.369460489,,0,0,0,0,0,1
0.35625233,0.374223863,0.202106433,0.402212117,0.615014292,0,0,1,0.065108514,0.402212117,0.402212117,0.402212117,0.402212117,0.402212117,,0,0,0,0,0,1
0.432738913,0.418806287,0.211047407,0.414993241,0.668948398,0,0,1,0.066777963,0.414993241,0.414993241,0.414993241,0.414993241,0.414993241,,0,0,0,0,0,1
0.460756409,0.448089724,0.216932286,0.419220843,0.684938425,0,0,1,0.068447412,0.419220843,0.419220843,0.419220843,0.419220843,0.419220843,0.419220843,0,0,0,0,0,0
0.468795184,0.473373609,0.218296163,0.417328254,0.697726149,0,0,1,0.070116861,0.417328254,0.417328254,0.417328254,0.417328254,0.417328254,0.417328254,0,0,0,0,0,0
0.475142543,0.502097667,0.217588968,0.397664987,0.656805433,0,0,1,0.071786311,0.397664987,0.397664987,0.397664987,0.397664987,0.397664987,0.397664987,0,0,0,0,0,0
0.454572735,0.519913856,0.212840654,0.392097825,0.630703432,0,0,1,0.07345576,0.392097825,0.392097825,0.392097825,0.392097825,0.392097825,0.392097825,0,0,0,0,0,0
0.44103231,0.526122951,0.207233602,0.399176601,0.605289174,0,0,1,0.075125209,0.399176601,0.399176601,0.399176601,0.399176601,0.399176601,0.399176601,0,0,0,0,0,0
0.427537352,0.528472339,0.202081176,0.419011921,0.594446474,0,0,1,0.076794658,0.419011921,0.419011921,0.419011921,0.419011921,0.419011921,0.419011921,0,0,0,0,0,0
0.42168105,0.523829502,0.196095269,0.466670763,0.546487137,0,0,1,0.078464107,0.466670763,0.466670763,0.466670763,0.466670763,0.466670763,,0,0,0,0,0,1
0.394991225,0.515438832,0.184047685,0.489455573,0.510412861,0,0,1,0.080133556,0.489455573,0.489455573,0.489455573,0.489455573,0.489455573,,0,0,0,0,0,1
0.374039485,0.505370029,0.172227414,0.502064643,0.489296998,0,0,1,0.081803005,0.502064643,0.502064643,0.502064643,0.502064643,0.502064643,,0,0,0,0,0,1
