DEPTH AC GR PERM POR RT SH SP SPC SW
1209.125 539.316 62.513 0.010 0.100 13.302 13.391 85.623 -52.404 99.900 
1209.250 555.606 63.581 0.010 0.100 12.439 14.309 85.805 -52.224 99.900 
1209.375 557.746 64.900 0.010 0.100 11.617 15.470 85.929 -52.101 99.900 
1209.500 554.041 67.478 0.010 0.100 10.934 17.819 86.019 -52.012 99.900 
1209.625 529.611 71.620 0.010 0.100 10.434 21.834 86.121 -51.911 99.900 
1209.750 460.405 76.485 0.010 0.100 10.141 26.953 86.196 -51.837 99.900 
1209.875 360.179 80.754 0.010 0.100 10.044 31.835 86.247 -51.787 99.900 
1210.000 295.630 84.370 0.010 0.100 10.100 36.278 86.274 -51.761 99.900 
1210.125 288.094 89.052 0.010 0.100 10.274 42.485 86.251 -51.785 99.900 
1210.250 301.524 94.730 0.010 0.100 10.588 50.758 86.207 -51.830 99.900 
1210.375 296.266 99.858 0.010 0.100 11.064 59.005 86.158 -51.880 99.900 
1210.500 265.998 103.480 0.010 0.100 11.677 65.311 86.092 -51.948 99.900 
1210.625 231.219 105.529 0.010 0.100 12.327 69.066 86.016 -52.024 99.900 
1210.750 208.483 106.316 0.010 0.100 12.874 70.547 85.929 -52.113 99.900 
1210.875 208.451 106.266 0.010 0.100 13.168 70.452 85.834 -52.209 99.900 
1211.000 234.743 105.710 0.010 0.100 13.114 69.405 85.762 -52.283 99.900 
1211.125 274.180 103.762 0.010 0.100 12.762 65.818 85.725 -52.320 99.900 
1211.250 306.718 101.175 0.010 0.100 12.221 61.250 85.702 -52.344 99.900 
1211.375 319.213 99.250 0.010 0.100 11.587 57.985 85.692 -52.355 99.900 
1211.500 307.972 98.102 0.010 0.100 10.943 56.093 85.711 -52.337 99.900 
1211.625 284.759 96.928 0.010 0.100 10.311 54.199 85.737 -52.313 99.900 
1211.750 262.273 96.012 0.010 0.100 9.698 52.748 85.760 -52.291 99.900 
1211.875 250.801 96.653 0.010 0.100 9.130 53.761 85.776 -52.276 99.900 
1212.000 253.736 97.582 0.010 0.100 8.629 55.250 85.788 -52.265 99.900 
1212.125 260.548 98.609 0.010 0.100 8.203 56.923 85.771 -52.283 99.900 
1212.250 267.912 99.714 0.010 0.100 7.852 58.761 85.752 -52.304 99.900 
1212.375 277.354 101.222 0.010 0.100 7.581 61.331 85.760 -52.296 99.900 
1212.500 282.256 102.491 0.010 0.100 7.388 63.546 85.732 -52.325 99.900 
1212.625 279.813 104.078 0.010 0.100 7.248 66.392 85.727 -52.332 99.900 
1212.750 274.826 106.591 0.010 0.100 7.149 71.069 85.736 -52.324 99.900 
1212.875 272.476 107.675 0.010 0.100 7.070 73.154 85.701 -52.360 99.900 
1213.000 271.532 108.952 0.010 0.100 7.009 75.664 85.682 -52.380 99.900 
1213.125 270.291 110.263 0.010 0.100 6.974 78.303 85.682 -52.381 99.900 
1213.250 269.339 110.435 0.010 0.100 6.967 78.653 85.682 -52.382 99.900 
1213.375 268.136 110.040 0.010 0.100 6.990 77.850 85.724 -52.341 99.900 
1213.500 267.486 110.089 0.010 0.100 7.053 77.949 85.784 -52.282 99.900 
1213.625 269.219 109.037 0.010 0.100 7.159 75.833 85.831 -52.236 99.900 
1213.750 273.010 105.991 0.010 0.100 7.291 69.933 85.865 -52.203 99.900 
1213.875 274.324 102.047 0.010 0.100 7.433 62.765 85.916 -52.154 99.900 
1214.000 265.397 97.732 0.010 0.100 7.579 55.492 85.965 -52.106 99.900 
1214.125 248.080 94.585 0.010 0.100 7.713 50.536 86.007 -52.065 99.900 
1214.250 234.379 93.446 0.010 0.100 7.832 48.812 86.051 -52.022 99.900 
1214.375 235.879 92.270 0.010 0.100 7.938 47.069 86.049 -52.026 99.900 
1214.500 252.614 90.403 0.010 0.100 8.008 44.376 86.043 -52.032 99.900 
1214.625 270.333 90.742 0.010 0.100 8.007 44.858 86.050 -52.026 99.900 
1214.750 278.447 92.381 0.010 0.100 7.936 47.232 86.059 -52.019 99.900 
1214.875 277.272 95.829 0.010 0.100 7.824 52.461 86.058 -52.020 99.900 
1215.000 273.035 102.255 0.010 0.100 7.671 63.131 86.051 -52.029 99.900 
1215.125 270.494 108.653 0.010 0.100 7.480 75.071 86.042 -52.039 99.900 
1215.250 268.424 115.012 0.010 0.100 7.283 88.405 86.015 -52.067 99.900 
1215.375 263.051 122.415 0.010 0.100 7.128 99.900 86.008 -52.075 99.900 
1215.500 262.127 128.877 0.010 0.100 7.050 99.900 86.009 -52.076 99.900 
1215.625 281.703 129.937 0.010 0.100 7.047 99.900 85.996 -52.090 99.900 
1215.750 321.520 128.781 0.010 0.100 7.127 99.900 85.997 -52.090 99.900 
1215.875 354.683 127.777 0.010 0.100 7.274 99.900 85.984 -52.104 99.900 
1216.000 346.524 124.127 0.010 0.100 7.448 99.900 85.946 -52.143 99.900 
1216.125 305.456 119.038 0.010 0.100 7.621 97.680 85.918 -52.172 99.900 
1216.250 265.205 111.374 0.010 0.100 7.809 80.588 85.888 -52.203 99.900 
1216.375 243.107 101.136 0.010 0.100 8.003 61.182 85.855 -52.237 99.900 
1216.500 238.979 93.180 0.010 0.100 8.181 48.415 85.830 -52.263 99.900 
1216.625 249.307 90.395 0.010 0.100 8.356 44.365 85.790 -52.304 99.900 
1216.750 275.761 89.290 0.010 0.100 8.560 42.815 85.746 -52.349 99.900 
1216.875 312.945 88.939 0.010 0.100 8.826 42.329 85.722 -52.374 99.900 
1217.000 336.108 89.281 0.010 0.100 9.178 42.803 85.711 -52.387 99.900 
1217.125 328.689 91.162 0.010 0.100 9.646 45.460 85.691 -52.407 99.900 
