¾®Ãû,DEPTH,GR,RT,AC,SP,POR,PERM,SW,SSR,SH,CJWX2,CJWX,CJWX1,,,,,,,,
ÂÞ¼ì36-361,1644.125,81.714,24.348,194.913,43.004,0.1,0.001,99.9,0,18.201,1,1.012012556,0.005732302,,,,,,,,
ÂÞ¼ì36-361,1644.25,81.522,25.978,193.503,42.695,0.1,0.001,99.9,0,18.04,1,1.033114438,0.005732302,,,,,,,,
ÂÞ¼ì36-361,1644.375,80.358,24.463,198.194,42.355,0.1,0.001,99.9,0,17.073,1,1.097479996,0.005732302,,,,,,,,
ÂÞ¼ì36-361,1644.5,80.154,18.825,207.637,42.02,0.1,0.001,99.9,0,16.906,1,1.00223081,0.005732302,,,,,,,,
ÂÞ¼ì36-361,1644.625,82.845,13.322,219.478,41.736,10.403,2.2854,60.867,2,10.932,2,2.207859234,0.596331327,,,,,,,,
ÂÞ¼ì36-361,1644.75,87.528,9.521,230.356,41.567,11.904,3.179,64.259,2,13.749,2,1.540950874,0.682373173,,,,,,,,
ÂÞ¼ì36-361,1644.875,91.762,7.493,238.457,41.525,13.022,3.9588,67.149,2,16.384,2,1.034693084,0.746460304,,,,,,,,
ÂÞ¼ì36-361,1645,92.779,6.4,243.161,41.603,13.671,4.4428,69.733,2,17.3,2,2.168944924,0.783662941,,,,,,,,
ÂÞ¼ì36-361,1645.125,92.776,5.947,244.531,41.775,13.86,4.6848,71.508,2,17.423,2,2.578414924,0.794496991,,,,,,,,
ÂÞ¼ì36-361,1645.25,97.429,6.212,243.925,42.023,13.777,4.799,70.323,2,19.74,2,2.351176504,0.78973918,,,,,,,,
ÂÞ¼ì36-361,1645.375,109.742,7.293,241.617,42.318,13.458,4.3803,66.197,2,26.565,2,1.486279974,0.771453138,,,,,,,,
ÂÞ¼ì36-361,1645.5,124.545,9.382,237.774,42.648,0,0,100,2,36.31,2,1.062796637,0,,,,,,,,
ÂÞ¼ì36-361,1645.625,131.958,12.823,233.64,42.989,0,0,100,0,41.634,1,1.071568946,0,,,,,,,,
ÂÞ¼ì36-361,1645.75,129.099,17.368,231.171,43.289,0,0,100,0,38.917,1,1.158243071,0,,,,,,,,
ÂÞ¼ì36-361,1645.875,124.026,19.643,231.203,43.5,0,0,100,0,35.003,1,1.072597851,0,,,,,,,,
ÂÞ¼ì36-361,1646,123.321,21.917,233.555,43.571,0,0,100,0,34.802,1,1.048689564,0,,,,,,,,
ÂÞ¼ì36-361,1646.125,125.226,23.096,237.788,43.463,0,0,100,0,36.834,1,1.091735166,0,,,,,,,,
ÂÞ¼ì36-361,1646.25,123.801,20.303,242.572,43.146,0,0,100,0,36.419,1,1.128340991,0,,,,,,,,
ÂÞ¼ì36-361,1646.375,121.818,15.827,246.51,42.697,0,0,100,0,35.467,1,1.095364973,0,,,,,,,,
ÂÞ¼ì36-361,1646.5,118.593,12.078,248.333,42.19,0,0,100,0,33.341,1,1.135129718,0,,,,,,,,
ÂÞ¼ì36-361,1646.625,112.793,9.596,247.201,41.693,0,0,100,0,29.189,1,1.050967266,0,,,,,,,,
ÂÞ¼ì36-361,1646.75,102.241,8.225,243.885,41.262,0,0,100,0,22.36,1,1.077663924,0,,,,,,,,
ÂÞ¼ì36-361,1646.875,88.431,7.816,238.655,40.888,0,0,100,0,14.843,1,1.054435496,0,,,,,,,,
ÂÞ¼ì36-361,1647,77.85,8.264,231.758,40.551,0,0,100,0,9.859,1,1.167162449,0,,,,,,,,
ÂÞ¼ì36-361,1647.125,69.626,9.858,223.966,40.225,8.647,3.5401,58.874,3,8.98,2,2.492357722,0.495672112,,,,,,,,
ÂÞ¼ì36-361,1647.25,63.983,13.706,216.669,39.905,14,5,52.636,3,5.259,2,1.103244471,0.802522213,,,,,,,,
ÂÞ¼ì36-361,1647.375,60.985,21.546,210.671,39.602,11.74,4.4,43.901,3,3.418,2,2.207220817,0.672972198,,,,,,,,
ÂÞ¼ì36-361,1647.5,60.4,36.213,206.86,39.338,10.126,3.5,35.999,3,3.069,2,2.364774873,0.580452852,,,,,,,,
ÂÞ¼ì36-361,1647.625,61.894,55.668,207.664,39.128,8.651,3.1666,31.424,3,3.967,2,2.600945307,0.495901404,,,,,,,,
ÂÞ¼ì36-361,1647.75,64.163,60.12,213.423,38.984,8.466,2.3687,31.424,3,5.373,2,1.461487523,0.485296647,,,,,,,,
ÂÞ¼ì36-361,1647.875,68.645,46.78,222.494,38.884,10.08,2.4524,31.424,3,5.959,2,2.568606651,0.577815993,,,,,,,,
ÂÞ¼ì36-361,1648,76.229,28.527,231.764,38.815,11.971,2.9529,36.618,3,9.241,2,2.304096544,0.686213815,,,,,,,,
ÂÞ¼ì36-361,1648.125,84.021,15.431,238.807,38.773,12.139,3.6035,46.646,3,12.902,2,1.858143499,0.695844081,,,,,,,,
ÂÞ¼ì36-361,1648.25,91.321,8.965,244.16,38.766,13.514,4.2398,58.421,3,16.679,2,2.285088652,0.774663227,,,,,,,,
ÂÞ¼ì36-361,1648.375,97.072,6.582,248.25,38.791,14.373,4.938,65.916,3,19.974,2,1.151375739,0.823903697,,,,,,,,
ÂÞ¼ì36-361,1648.5,96.691,5.835,250.609,38.845,14.699,5.3464,68.697,3,20.003,2,2.280658112,0.842591,,,,,,,,
ÂÞ¼ì36-361,1648.625,93.358,6.083,250.281,38.918,14.654,5.4639,67.457,3,18.245,2,2.57906182,0.840011465,,,,,,,,
ÂÞ¼ì36-361,1648.75,90.234,7.229,248.133,39,14.357,5.3758,62.955,3,16.509,2,1.885895799,0.822986529,,,,,,,,
ÂÞ¼ì36-361,1648.875,87.372,9.353,245.219,39.083,13.955,4.8832,56.693,3,14.913,2,2.115814444,0.799942677,,,,,,,,
ÂÞ¼ì36-361,1649,84.186,13.015,242.575,39.164,13.59,4.3088,49.145,3,13.274,2,1.230807416,0.779019776,,,,,,,,
ÂÞ¼ì36-361,1649.125,84.048,19.724,241.487,39.243,13.44,4.2798,40.298,3,13.127,2,2.641785779,0.770421324,,,,,,,,
ÂÞ¼ì36-361,1649.25,82.542,28.689,242.547,39.314,13.587,4.3052,33.109,3,12.566,2,1.882319323,0.778847807,,,,,,,,
ÂÞ¼ì36-361,1649.375,84.348,33.86,245.603,39.375,14.008,4.7525,29.7,3,13.589,2,1.245474695,0.802980797,,,,,,,,
ÂÞ¼ì36-361,1649.5,90.318,28.791,249.46,39.423,14.54,4.9723,31.211,3,16.668,2,1.32494624,0.833476641,,,,,,,,
ÂÞ¼ì36-361,1649.625,94.573,21.492,252.35,39.461,14.939,5.1218,35.309,3,19.062,2,2.392427974,0.856348524,,,,,,,,
ÂÞ¼ì36-361,1649.75,95.821,15.591,253.872,39.506,15.149,5.2394,40.969,3,19.861,2,2.141424337,0.868386357,,,,,,,,
ÂÞ¼ì36-361,1649.875,98.338,11.263,254.671,39.58,15.26,5.4011,47.908,3,21.297,2,1.689056948,0.874749212,,,,,,,,
ÂÞ¼ì36-361,1650,101.107,8.317,255.513,39.705,15.376,5.4603,55.397,3,22.937,2,2.628599183,0.881398682,,,,,,,,
ÂÞ¼ì36-361,1650.125,98.386,6.736,256.67,39.901,15.536,5.5873,61.019,3,21.527,2,1.570762233,0.890570364,,,,,,,,
ÂÞ¼ì36-361,1650.25,94.015,6.244,258.186,40.183,15.745,5.7479,62.67,3,19.332,2,1.369454325,0.902550874,,,,,,,,
ÂÞ¼ì36-361,1650.375,92.911,6.288,260.569,40.515,16.074,5.8501,61.366,3,18.987,2,1.095929809,0.921410146,,,,,,,,
ÂÞ¼ì36-361,1650.5,99.199,6.706,264.164,40.853,16.57,5.9523,57.919,3,22.76,2,2.505695681,0.949842362,,,,,,,,
ÂÞ¼ì36-361,1650.625,111.452,7.706,267.543,41.143,17.036,6.1933,52.781,3,30.817,2,2.253721545,0.976554887,,,,,,,,
ÂÞ¼ì36-361,1650.75,120.981,9.564,267.786,41.311,0,0,100,0,37.843,1,1.044067155,0,,,,,,,,
ÂÞ¼ì36-361,1650.875,126.306,12.559,263.38,41.339,0,0,100,0,41.502,1,1.145930882,0,,,,,,,,
ÂÞ¼ì36-361,1651,126.477,16.823,255.821,41.22,0,0,100,0,40.485,1,1.013347888,0,,,,,,,,
ÂÞ¼ì36-361,1651.125,116.156,21.187,249.672,40.965,0,0,100,0,31.787,1,1.149061774,0,,,,,,,,
ÂÞ¼ì36-361,1651.25,102.073,24.017,247.65,40.589,0,0,100,0,22.659,1,1.112661776,0,,,,,,,,
ÂÞ¼ì36-361,1651.375,93.922,24.151,249.047,40.151,0,0,100,0,18.415,1,1.16208707,0,,,,,,,,
ÂÞ¼ì36-361,1651.5,91.483,22.218,251.733,39.693,14.854,5.0438,34.895,4,17.442,2,2.59580462,0.851476068,,,,,,,,
ÂÞ¼ì36-361,1651.625,90.594,18.75,254.318,39.258,15.211,5.6202,37.232,4,17.24,2,1.564210851,0.871940384,,,,,,,,
ÂÞ¼ì36-361,1651.75,88.44,14.983,256.658,38.888,15.534,5.6943,40.918,4,16.404,2,1.124946246,0.890455718,,,,,,,,
ÂÞ¼ì36-361,1651.875,88.302,11.819,258.501,38.589,15.788,5.4557,45.443,4,16.501,2,1.662475575,0.905015764,,,,,,,,
ÂÞ¼ì36-361,1652,89.958,9.429,259.449,38.356,15.919,4.9475,50.525,4,17.393,2,1.897319184,0.912525079,,,,,,,,
ÂÞ¼ì36-361,1652.125,90.708,7.993,259.412,38.18,15.914,4.5109,54.891,4,17.762,2,1.051815758,0.912238464,,,,,,,,
ÂÞ¼ì36-361,1652.25,87.648,7.3,258.888,38.063,15.842,4.3184,57.658,4,16.222,2,2.204991274,0.908111207,,,,,,,,
ÂÞ¼ì36-361,1652.375,86.37,7.137,257.871,37.99,15.701,4.1891,58.755,4,15.531,2,2.678510067,0.900028662,,,,,,,,
ÂÞ¼ì36-361,1652.5,87.99,7.358,256.159,37.956,15.465,4.2699,58.609,4,16.145,2,2.629147151,0.88650043,,,,,,,,
ÂÞ¼ì36-361,1652.625,88.443,7.904,253.849,37.951,15.146,4.383,57.55,4,16.158,2,1.756308069,0.868214388,,,,,,,,
ÂÞ¼ì36-361,1652.75,86.454,8.849,251.667,37.966,14.845,4.5607,55.32,4,15.039,2,2.490976068,0.850960161,,,,,,,,
ÂÞ¼ì36-361,1652.875,85.824,10.335,250.216,37.993,14.645,4.7222,51.78,4,14.629,2,1.385777968,0.839495557,,,,,,,,
ÂÞ¼ì36-361,1653,85.35,12.25,249.766,38.033,14.583,4.9322,47.731,4,14.377,2,1.283889936,0.835941531,,,,,,,,
ÂÞ¼ì36-361,1653.125,84.357,14.314,250.218,38.088,14.645,5.223,43.997,4,13.97,2,2.158721433,0.839495557,,,,,,,,
ÂÞ¼ì36-361,1653.25,83.028,15.949,251.042,38.153,14.759,5.4654,41.411,4,13.451,2,2.332727227,0.846030381,,,,,,,,
