WELL_ID,DEPTH,GR,SP,RT,AC,SH,POR,PERM,SW,SSB,CJWX,CJWX1,CJWX2,CJWX3,CJWX4,std_GR,std_SP,std_RT,std_AC,std_SH,std_POR,std_PERM,std_SW,std_DEPTH,mm_GR,mm_SP,mm_RT,mm_AC,mm_SH,mm_POR,mm_PERM,mm_SW,mm_DEPTH,GR_rate,SP_rate,RT_rate,AC_rate,SH_rate,POR_rate,PERM_rate,SW_rate,DEPTH_rate,GR_sign,SP_sign,RT_sign,AC_sign,SH_sign,POR_sign,PERM_sign,SW_sign,DEPTH_sign,CHUC,R_DEPTH,GRgrad,SPgrad,RTgrad,ACgrad,SHgrad,PORgrad,PERMgrad,SWgrad,ABC_xgb1,GS_xgb1,ABC_svm1,ABC_rf1,ABC_xgb2,GS_xgb2,ABC_svm2,ABC_rf2
罗检36-361,1640.875,125.226,43.463,23.096,237.78799999999998,36.834,12.93,2.484,38.477,7,1,1,0,0,0,1.664672788,-0.049572741,0.7165459909999999,-0.292336086,0.5777870589999999,0.39660153299999995,-0.188249361,-0.92517897,-0.779430915,0.747437479,0.29919551699999997,0.317969973,0.48932620299999996,0.348700313,0.739694436,0.21544892399999999,0.12502849,0.273972603,0.015447491,-0.002478713,0.053793859000000006,0.018124211,0.058387449,0.04730277,0.12449072,-0.06313610900000001,7.62e-05,1,-1,1,1,1,1,1,-1,1,0,7.5,0.24,-0.2125,-0.807,4.5085,0.8085,0.622,0.23199999999999998,-0.8605,0,0,1,0,7.0,7.0,2.0,7.0
罗检36-361,1641.0,123.801,43.146,20.303,242.572,36.419000000000004,13.59,2.673,39.349000000000004,7,1,1,0,0,0,1.58420992,-0.10122212300000001,0.381670312,0.015707753999999997,0.5569569910000001,0.503074499,-0.121901897,-0.889234883,-0.7636848359999999,0.731007368,0.284868481,0.266519296,0.542186913,0.344414495,0.777745748,0.231908038,0.137450142,0.278538813,-0.011379426000000002,-0.00729356,-0.120930031,0.020118761000000002,-0.011266763999999999,0.051044084,0.076086957,0.02266289,7.62e-05,-1,-1,-1,1,-1,1,1,1,1,0,7.625,-1.704,-0.38299999999999995,-3.6345,4.361000000000001,-0.6835,0.6015,0.0185,2.32,0,0,1,0,7.0,7.0,2.0,7.0
罗检36-361,1641.125,121.818,42.696999999999996,15.827,246.51,35.467,14.133,2.521,43.117,7,1,1,0,0,0,1.472239487,-0.174378502,-0.154994041,0.269277286,0.509173319,0.590672712,-0.175260704,-0.733916852,-0.747938757,0.70814357,0.264575612,0.18406558,0.585699764,0.334582933,0.8090516,0.218671079,0.19112535600000002,0.283105023,-0.016017641000000003,-0.010406526999999999,-0.22046003100000003,0.016234355,-0.026140202,0.03995585,-0.056864946,0.095758469,7.62e-05,-1,-1,-1,1,-1,1,-1,1,1,0,7.75,-2.6039999999999996,-0.478,-4.1125,2.8805,-1.5390000000000001,0.3975,-0.28300000000000003,4.6395,0,0,1,0,7.0,7.0,2.0,7.0
罗检36-361,1641.25,118.59299999999999,42.19,12.078,248.333,33.341,14.385,2.1069999999999998,48.628,7,1,1,0,0,0,1.290139313,-0.256984925,-0.604492401,0.38666104799999995,0.402463141,0.631326026,-0.320593245,-0.5067518670000001,-0.732192678,0.670959634,0.24166139399999997,0.115004145,0.605842965,0.312627155,0.823580283,0.182617783,0.26962963,0.287671233,-0.02647392,-0.011874371000000002,-0.236873697,0.007395238,-0.05994304599999999,0.017830609,-0.164220547,0.127815015,7.62e-05,-1,-1,-1,1,-1,1,-1,1,1,0,7.875,-4.5125,-0.502,-3.1155,0.3455,-3.139,0.048,-0.441,5.972,0,0,1,0,7.0,7.0,3.0,7.0
罗检36-361,1641.375,112.79299999999999,41.693000000000005,9.596,247.201,29.189,14.229000000000001,1.639,55.06100000000001,7,1,1,0,0,0,0.962641324,-0.337962031,-0.902079739,0.31377107600000004,0.19406208,0.606159689,-0.484882204,-0.24158178,-0.7164465990000001,0.604086198,0.219199132,0.069282491,0.593334954,0.269748324,0.814586336,0.141861883,0.361267806,0.292237443,-0.048906765,-0.011780043,-0.20549759899999998,-0.004558395,-0.12453135800000001,-0.01084463,-0.22211675399999997,0.132290039,7.62e-05,-1,-1,-1,-1,-1,-1,-1,1,1,1,8.0,-8.176,-0.46399999999999997,-1.9265,-2.224,-5.4905,-0.307,-0.396,6.254,0,0,1,1,7.0,7.0,3.0,2.0
罗检36-361,1641.5,102.241,41.262,8.225,243.885,22.36,13.770999999999999,1.315,61.136,7,1,1,0,0,0,0.36682084600000003,-0.40818563700000005,-1.0664601740000001,0.100252395,-0.148705464,0.532273903,-0.5986207139999999,0.008831446,-0.70070052,0.482422663,0.19971978699999998,0.044026895,0.55669488,0.19922338899999997,0.788181032,0.11364626,0.44780626799999995,0.296803653,-0.093551905,-0.010337467,-0.14287203,-0.013414185,-0.233957998,-0.032187786,-0.197681513,0.11033217699999999,7.62e-05,-1,-1,-1,-1,-1,-1,-1,1,1,1,8.125,-12.181,-0.4025,-0.89,-4.273,-7.172999999999999,-0.59,-0.2425,5.2835,1,1,1,1,2.0,2.0,3.0,2.0
罗检36-361,1641.625,88.431,40.888000000000005,7.816,238.655,14.843,13.049000000000001,1.1540000000000001,65.628,7,1,1,0,0,0,-0.412963157,-0.469122131,-1.115498539,-0.236509579,-0.526005747,0.41579893100000004,-0.655138924,0.193992962,-0.6849544409999999,0.323194705,0.18281659600000003,0.036492585,0.498906102,0.12159329099999999,0.746555203,0.099625533,0.5117948720000001,0.301369863,-0.135073014,-0.00906403,-0.049726444,-0.021444532999999998,-0.33618068,-0.052429018,-0.12243346,0.07347553,7.609999999999999e-05,-1,-1,-1,-1,-1,-1,-1,1,1,1,8.25,-12.1955,-0.3555,0.0195,-6.0635,-6.2505,-0.8365,-0.11900000000000001,3.451,1,1,1,1,2.0,2.0,3.0,2.0
罗检36-361,1641.75,77.85,40.551,8.264,231.75799999999998,9.859,12.097999999999999,1.077,68.038,7,1,1,0,0,0,-1.010421125,-0.524030149,-1.061784144,-0.680610408,-0.7761673290000001,0.262381066,-0.682169372,0.293333846,-0.669208362,0.20119680399999998,0.167585646,0.044745325999999995,0.422697841,0.070122172,0.6917267220000001,0.092919969,0.546125356,0.30593607300000003,-0.11965261099999999,-0.008242026999999999,0.057318321,-0.028899457000000003,-0.335781176,-0.072879148,-0.066724437,0.036722131,7.609999999999999e-05,-1,-1,1,-1,-1,-1,-1,1,1,1,8.375,-9.4025,-0.3315,1.021,-7.3445,-2.9315,-6.4745,-0.5720000000000001,17.136,1,1,1,1,2.0,2.0,3.0,2.0
罗检36-361,1641.875,69.626,40.225,9.857999999999999,223.96599999999998,8.98,0.1,0.01,99.9,3,3,0,0,1,0,-1.474790686,-0.577145916,-0.87066641,-1.182340675,-0.820286918,-1.6731683999999998,-1.056734157,1.6066945369999999,-0.653462283,0.106374883,0.152851849,0.07410887,0.336600296,0.0610445,0.0,0.0,1.0,0.310502283,-0.105639049,-0.008039259,0.192884802,-0.033621277000000005,-0.089157115,-0.9917341709999999,-0.990714949,0.46829712799999995,7.609999999999999e-05,-1,-1,1,-1,-1,-1,-1,1,1,1,8.5,-6.9335,-0.32299999999999995,2.721,-7.5445,-2.3,-5.999,-0.5335,15.931,1,1,1,1,2.0,3.0,3.0,2.0
罗检36-361,1642.0,63.983000000000004,39.905,13.706,216.669,5.2589999999999995,0.1,0.01,99.9,3,3,0,0,1,0,-1.7934236430000001,-0.629284093,-0.409298128,-1.652197678,-1.0070548240000001,-1.6731683999999998,-1.056734157,1.6066945369999999,-0.637716204,0.041311642,0.138389225,0.144994013,0.25597224399999996,0.022616723999999998,0.0,0.0,1.0,0.315068493,-0.08104731,-0.007955252,0.390342869,-0.032580838,-0.414365256,0.0,0.0,0.0,7.609999999999999e-05,-1,-1,1,-1,-1,0,0,0,1,1,8.625,-4.3205,-0.3115,5.843999999999999,-6.6475,-2.781,0.0,0.0,0.0,0,1,1,1,3.0,3.0,3.0,2.0
罗检36-361,1642.125,60.985,39.602,21.546,210.671,3.418,0.1,0.01,99.9,3,3,0,0,1,0,-1.9627062240000002,-0.6786524290000001,0.530703778,-2.038411505,-1.099460015,-1.6731683999999998,-1.056734157,1.6066945369999999,-0.621970124,0.006744993,0.12469492900000001,0.289416966,0.189697465,0.0036042179999999997,0.0,0.0,1.0,0.319634703,-0.046856195999999996,-0.007593033000000001,0.572012257,-0.027682778999999998,-0.35006655299999995,0.0,0.0,0.0,7.609999999999999e-05,-1,-1,1,-1,-1,0,0,0,1,0,8.75,-1.7915,-0.2835,11.2535,-4.9045,-1.095,0.0,0.0,0.0,1,1,1,0,3.0,3.0,3.0,7.0
罗检36-361,1642.25,60.4,39.338,36.213,206.86,3.069,0.1,0.01,99.9,3,3,0,0,1,0,-1.9957383480000002,-0.721666424,2.28925071,-2.283803452,-1.1169773490000001,-1.6731683999999998,-1.056734157,1.6066945369999999,-0.606224045,0.0,0.112763265,0.5596021,0.147587899,0.0,0.0,0.0,1.0,0.32420091300000003,-0.009592523,-0.00666633,0.680729602,-0.018089818,-0.102106495,0.0,0.0,0.0,7.609999999999999e-05,-1,-1,1,-1,-1,0,0,0,1,0,8.875,0.4545,-0.237,17.061,-1.5035,0.2745,0.0,0.0,0.0,1,1,1,0,7.0,3.0,3.0,7.0
罗检36-361,1642.375,61.894,39.128,55.668,207.66400000000002,3.967,0.1,0.01,99.9,3,3,0,0,1,0,-1.911379384,-0.7558821029999999,4.621870234,-2.232033543,-1.071904094,-1.6731683999999998,-1.056734157,1.6066945369999999,-0.590477966,0.017225675,0.10327216800000001,0.917988395,0.15647168,0.00927389,0.0,0.0,1.0,0.328767123,0.024735099,-0.00533835,0.537238008,0.003886687,0.292603454,0.0,0.0,0.0,7.609999999999999e-05,1,-1,1,1,1,0,0,0,1,0,9.0,1.8815,-0.177,11.9535,3.2815,1.1520000000000001,0.0,0.0,0.0,0,1,1,0,7.0,3.0,7.0,7.0
罗检36-361,1642.5,64.163,38.984,60.12,213.423,5.372999999999999,0.1,0.01,99.9,3,3,0,0,1,0,-1.783259912,-0.779344282,5.15565703,-1.861209029,-1.00133283,-1.6731683999999998,-1.056734157,1.6066945369999999,-0.574731887,0.043387024,0.09676398800000001,1.0,0.220105633,0.023794033,0.0,0.0,1.0,0.333333333,0.03665945,-0.003680229,0.079974132,0.027732298,0.35442399799999996,0.0,0.0,0.0,7.609999999999999e-05,1,-1,1,1,1,0,0,0,1,1,9.125,3.3755,-0.122,-4.444,7.415,0.996,5.3595,4.121,-34.238,0,1,1,1,7.0,3.0,7.0,3.0
罗检36-361,1642.625,68.645,38.884,46.78,222.49400000000003,5.959,10.819,8.252,31.424,3,3,0,0,1,0,-1.5301830180000002,-0.7956374620000001,3.556215013,-1.277123395,-0.97191977,0.056049364000000004,1.836576953,-1.215905634,-0.558985808,0.095064049,0.09224441800000001,0.7542599240000001,0.320335462,0.029845814,0.617987893,0.717756684,0.024558405,0.33789954299999997,0.069853342,-0.002565155,-0.221889554,0.042502448,0.10906383800000001,107.19,824.2,-0.685445445,7.609999999999999e-05,1,-1,-1,1,1,1,1,-1,1,1,9.25,6.0329999999999995,-0.0845,-15.7965,9.1705,1.9340000000000002,5.9995,3.8489999999999998,-31.641,0,1,1,1,7.0,3.0,7.0,3.0
罗检36-361,1642.75,76.229,38.815,28.526999999999997,231.764,9.241,12.099,7.707999999999999,36.618,3,3,0,0,1,0,-1.1019511659999999,-0.806879757,1.3677131269999998,-0.680224065,-0.807186562,0.262542389,1.645608591,-1.001807478,-0.543239729,0.182506831,0.089125915,0.418016027,0.42276413799999996,0.06373991799999999,0.691784376,0.670382304,0.098547009,0.342465753,0.110481463,-0.0017745089999999999,-0.390188115,0.041664045,0.550763551,0.11831038,-0.065923413,0.16528767800000002,7.609999999999999e-05,1,-1,-1,1,1,1,-1,1,1,1,9.375,7.688,-0.0555,-15.6745,8.1565,3.4715,1.1255,-1.9325,7.611000000000001,0,0,1,1,7.0,7.0,3.0,3.0
罗检36-361,1642.875,84.021,38.773,15.431,238.80700000000002,12.902000000000001,13.07,4.387,46.646,3,3,0,0,1,0,-0.6619745579999999,-0.813722892,-0.202473729,-0.226722233,-0.6234302310000001,0.41918670799999996,0.47978886299999995,-0.58845047,-0.52749365,0.272347834,0.087227696,0.176770747,0.500585622,0.10154805800000001,0.747765927,0.381172168,0.24139601100000002,0.34703196299999994,0.10221831599999999,-0.001082056,-0.45907386,0.030388671000000003,0.39616924600000003,0.080254566,-0.430851064,0.273854389,7.609999999999999e-05,1,-1,-1,1,1,1,-1,1,1,0,9.5,7.546,-0.0245,-9.781,6.1979999999999995,3.719,0.855,-2.8375,10.9015,0,0,1,0,7.0,7.0,3.0,3.0
罗检36-361,1643.0,91.321,38.766,8.965,244.16,16.679000000000002,13.809000000000001,2.033,58.42100000000001,3,3,0,0,1,0,-0.249778814,-0.814863415,-0.977735505,0.11795976400000001,-0.433851521,0.538404165,-0.346570559,-0.103081625,-0.511747571,0.356516125,0.086911326,0.057658653,0.559733487,0.14055416099999998,0.790371865,0.176173474,0.409131054,0.351598174,0.086883041,-0.000180538,-0.419026635,0.022415591000000002,0.292745311,0.056541699,-0.5365853660000001,0.25243322,7.609999999999999e-05,1,-1,-1,1,1,1,-1,1,1,0,9.625,6.5255,0.009000000000000001,-4.4245,4.7215,3.536,0.6515,-1.5830000000000002,9.635,0,0,1,0,7.0,7.0,3.0,3.0
罗检36-361,1643.125,97.072,38.791,6.582000000000001,248.25,19.974,14.373,1.2209999999999999,65.916,3,3,0,0,1,0,0.074952381,-0.81079012,-1.2634529209999998,0.38131664200000004,-0.268465804,0.629390154,-0.631618923,0.20586440399999997,-0.49600149200000004,0.422824596,0.088041218,0.013760706999999999,0.604925858,0.17458252,0.82288844,0.105460246,0.515897436,0.356164384,0.062975657,0.000644895,-0.265811489,0.016751311,0.19755381,0.040842929,-0.399409739,0.128292908,7.609999999999999e-05,1,1,-1,1,1,1,-1,1,1,1,9.75,2.685,0.0395,-1.565,3.2245,1.662,0.445,-0.4965,5.138,0,1,1,1,7.0,3.0,3.0,3.0
